source_id,source_name,major_type,type,file_count,size_bytes,embedded_file_count,measured_file_count,page_count,unmeasured_file_count,page_coverage_pct
publications,재정간행물,IMF,IMF,37,1034808293,37,37,2136,0,100.0
publications,재정간행물,OECD,OECD,29,601916659,29,29,1953,0,100.0
publications,재정간행물,경제동향,경제동향,103,287889613,125,103,9903,0,100.0
publications,재정간행물,기금운용평가결과,기금운용평가결과,41,473103971,41,41,29610,0,100.0
publications,재정간행물,기타자료,기타자료,50,301307564,50,50,5904,0,100.0
publications,재정간행물,부담금운용현황,부담금운용현황,36,689215188,48,36,26097,0,100.0
publications,재정간행물,알기쉬운 나라살림,알기쉬운 나라살림,1,624364,1,1,9,0,100.0
publications,재정간행물,예산(나라살림),예산(나라살림),62,888536146,62,62,25175,0,100.0
publications,재정간행물,예산안분석,예산안분석,59,944512488,229,59,59653,0,100.0
publications,재정간행물,월간나라재정,월간나라재정,116,2350562898,116,115,7251,1,99.14
publications,재정간행물,월간재정동향,월간재정동향,149,704837544,149,149,11505,0,100.0
publications,재정간행물,재정사업자율평가,재정사업자율평가,831,6232245398,1183,831,177044,0,100.0
publications,재정간행물,주요재정통계,주요재정통계,12,171612511,12,12,3689,0,100.0
publications,재정간행물,해외재정동향,해외재정동향,159,3214155287,159,159,6738,0,100.0
publications,재정간행물,회계·기금운용구조,회계·기금운용구조,13,120981867,13,11,1310,2,84.62
reports,재정보고서 및 문서,결산,결산>결산보고서,1716,9408693006,1716,1716,633825,0,100.0
reports,재정보고서 및 문서,결산,결산>재정증권,61,12221573,61,61,125,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>기금운용평가보고서,40,699132534,40,40,30484,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>보조사업 연장평가보고서,12,576640293,12,12,28102,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>성과계획서(안),1016,5633117514,1016,1014,221874,2,99.8
reports,재정보고서 및 문서,성과관리,성과관리>성과계획서(안)(추경),336,1271319569,336,336,120972,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>성과보고서,874,7836724760,874,874,274761,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>성과평가관련 지침,20,8081103,20,20,1718,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>소관별 재정사업 자율평가 보고서,928,5850442122,939,928,139191,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과,1,499913,1,1,30,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>R&D사업평가,205,1111740511,205,205,18242,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>복권기금사업평가,1,4407178,1,1,656,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>일자리사업평가,160,37746043,160,160,1030,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>재난안전사업평가,1,714960,1,1,31,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>중소기업지원사업평가,130,79189574,130,130,838,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>재정사업평가결과>지역균형발전사업평가,1,14097996,1,1,157,0,100.0
reports,재정보고서 및 문서,성과관리,성과관리>통합재정사업평가결과,71,147276200,71,71,27830,0,100.0
reports,재정보고서 및 문서,수지,수지,17,154916472,17,17,4045,0,100.0
reports,재정보고서 및 문서,예산,예산>국가재정운용계획,38,304692409,38,38,8465,0,100.0
reports,재정보고서 및 문서,예산,예산>국회예산기금확정,275,2456346920,275,275,116312,0,100.0
reports,재정보고서 및 문서,예산,예산>정부예산기금안,770,8713489429,770,769,194684,1,99.87
reports,재정보고서 및 문서,예산,예산>정부예산기금안>기금운용계획안,91,1107257194,91,91,34122,0,100.0
reports,재정보고서 및 문서,예산,예산>정부예산기금안>임대형 민자사업(BTL) 한도액안,14,4378783,14,14,121,0,100.0
reports,재정보고서 및 문서,예산,예산>정부예산기금안>추가경정예산안,244,1136762722,244,244,45905,0,100.0
reports,재정보고서 및 문서,지방교육재정,지방교육재정,22,823851767,22,22,6788,0,100.0
reports,재정보고서 및 문서,지방재정,지방재정,24,230558633,2207,24,9764,0,100.0
reports,재정보고서 및 문서,집행실적,집행실적>민간투자,17,30082405,17,17,3338,0,100.0
reports,재정보고서 및 문서,집행실적,집행실적>복권,18,670208,18,18,115,0,100.0
