source_id,source_name,year_basis,year,file_count,size_bytes,verified_size_bytes,embedded_file_count,measured_file_count,page_count,unmeasured_file_count,page_coverage_pct
publications,재정간행물,게시연도,2000,1,92289,92289,1,1,41,0,100.0
publications,재정간행물,게시연도,2001,1,73077,73077,1,1,32,0,100.0
publications,재정간행물,게시연도,2002,2,4955445,4955445,2,2,824,0,100.0
publications,재정간행물,게시연도,2003,1,1513408,1513408,4,1,566,0,100.0
publications,재정간행물,게시연도,2004,1,1288333,1288333,7,1,603,0,100.0
publications,재정간행물,게시연도,2005,2,9612343,9612343,5,2,1780,0,100.0
publications,재정간행물,게시연도,2006,2,17800863,17800863,2,2,2376,0,100.0
publications,재정간행물,게시연도,2007,3,7899948,7899948,3,3,1332,0,100.0
publications,재정간행물,게시연도,2008,2,11574031,11574031,2,2,1520,0,100.0
publications,재정간행물,게시연도,2009,36,112401116,112401116,67,36,11505,0,100.0
publications,재정간행물,게시연도,2010,34,278035274,278035274,63,34,17589,0,100.0
publications,재정간행물,게시연도,2011,129,871294595,871294595,246,129,44612,0,100.0
publications,재정간행물,게시연도,2012,3,20024413,20024413,3,3,2124,0,100.0
publications,재정간행물,게시연도,2013,69,394783976,394783976,131,69,10319,0,100.0
publications,재정간행물,게시연도,2014,71,532898647,532898647,173,71,26512,0,100.0
publications,재정간행물,게시연도,2015,148,2928378623,2928378623,175,148,55627,0,100.0
publications,재정간행물,게시연도,2016,50,203882982,203882982,66,50,8852,0,100.0
publications,재정간행물,게시연도,2017,107,1666583184,1666583184,128,107,39972,0,100.0
publications,재정간행물,게시연도,2018,128,740058068,740058068,170,128,20103,0,100.0
publications,재정간행물,게시연도,2019,134,856434752,856434752,154,134,19830,0,100.0
publications,재정간행물,게시연도,2020,131,630797043,630797043,151,130,18261,1,99.24
publications,재정간행물,게시연도,2021,115,868543564,868543564,132,115,19187,0,100.0
publications,재정간행물,게시연도,2022,116,1008563573,1008563573,136,116,20316,0,100.0
publications,재정간행물,게시연도,2023,113,1701528163,1701528163,133,112,13009,1,99.12
publications,재정간행물,게시연도,2024,129,1589910301,1589910301,129,128,13179,1,99.22
publications,재정간행물,게시연도,2025,129,1754453080,1754453080,129,129,13424,0,100.0
