row_no,acntYr,allDtaClsNm,odtId,odtNm,dpFileNm,fileExt,atchFileSz,inqNum,atchFileId,atchFileSeq,dest_path,action,existing_source,external_source_url,alternate_saved_path,alternate_is_same_as_original,alternate_note,original_download_error,status,size,error
1,2027,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),2027년도 성과계획서 작성지침,hwpx,569243,111,C2220000000000000001,1001,성과관리/성과계획서(안)/2027년도 성과계획서 작성지침.hwpx,download,,,,,,,downloaded,569243,
2,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[07]2026년도 성과계획서_민주평화통일자문회의,hwp,196096,33,C2220000000000000001,947,성과관리/성과계획서(안)/[07]2026년도 성과계획서_민주평화통일자문회의.hwp,download,,,,,,,downloaded,196096,
3,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[15]2026년도 성과계획서_법무부,hwp,2301440,36,C2220000000000000001,955,성과관리/성과계획서(안)/[15]2026년도 성과계획서_법무부.hwp,download,,,,,,,downloaded,2301440,
4,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[48]2026년도 성과계획서_방위사업청,hwpx,740796,63,C2220000000000000001,988,성과관리/성과계획서(안)/[48]2026년도 성과계획서_방위사업청.hwpx,download,,,,,,,downloaded,740796,
5,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[18]2026년도 성과계획서_국가보훈부,hwp,1441792,14,C2220000000000000001,958,성과관리/성과계획서(안)/[18]2026년도 성과계획서_국가보훈부.hwp,download,,,,,,,downloaded,1441792,
6,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[37]2026년도 성과계획서_금융위원회,hwp,581120,40,C2220000000000000001,977,성과관리/성과계획서(안)/[37]2026년도 성과계획서_금융위원회.hwp,download,,,,,,,downloaded,581120,
7,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[45]2026년도 성과계획서_우주항공청,hwp,1085952,35,C2220000000000000001,985,성과관리/성과계획서(안)/[45]2026년도 성과계획서_우주항공청.hwp,download,,,,,,,downloaded,1085952,
8,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[00]2026년도 성과계획서_총괄편,hwp,1372160,57,C2220000000000000001,940,성과관리/성과계획서(안)/[00]2026년도 성과계획서_총괄편.hwp,download,,,,,,,downloaded,1372160,
9,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[05]2026년도 성과계획서_헌법재판소,hwp,363008,25,C2220000000000000001,945,성과관리/성과계획서(안)/[05]2026년도 성과계획서_헌법재판소.hwp,download,,,,,,,downloaded,363008,
10,2026,성과관리>성과계획서(안),N54BY8W6I0MY1UDW8OPLQL570,성과계획서(안),[28]2026년도 성과계획서_중소벤처기업부,hwp,1605632,97,C2220000000000000001,968,성과관리/성과계획서(안)/[28]2026년도 성과계획서_중소벤처기업부.hwp,download,,,,,,,downloaded,1605632,
