corpus,doc_id,title,fiscal_year,category,file_ext,path,exists,size,source_status,page_count,page_status,error,original_error,rhwp_bin,rhwp_version,rhwp_patch,elapsed_ms
UOPKOFDA01_publications,uopkofda01:501:2682:FI000000000026824509:4,2015년도 월간재정동향,2015,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2015-01-26_2682_2015년도 월간재정동향/04_목차_월간재정동향(15년04월).hwp,True,3318272,downloaded,89,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,113
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:3,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/03_목차_월간재정동향(17년3월).hwp,True,1990656,downloaded,93,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,112
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:9,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/09_목차_월간재정동향(17년9월).hwp,True,962048,downloaded,94,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,126
UOPKOFDA01_publications,uopkofda01:501:42756:FI000000004275654712:7,2016년도 월간재정동향,2016,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2016-01-13_42756_2016년도 월간재정동향/07_목차_월간재정동향(16년07월).hwp,True,1861632,downloaded,92,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,127
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:7,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/07_목차_월간재정동향(17년7월).hwp,True,869376,downloaded,93,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,125
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:6,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/06_목차_월간재정동향(17년6월).hwp,True,1111552,downloaded,93,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,127
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:11,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/11_목차_월간재정동향(17년11월).hwp,True,911872,downloaded,92,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,130
UOPKOFDA01_publications,uopkofda01:501:45406:FI000000004540659007:7,2018년 월간재정동향 1월호,2018,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2018-01-12_45406_2018년 월간재정동향 1월호.hwp,True,920064,downloaded,92,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,131
UOPKOFDA01_publications,uopkofda01:501:44367:FI000000004436757916:12,2017년도 월간재정동향,2017,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2017-04-11_44367_2017년도 월간재정동향/12_목차_월간재정동향(17년12월).hwp,True,915968,downloaded,93,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,130
UOPKOFDA01_publications,uopkofda01:501:42756:FI000000004275654712:3,2016년도 월간재정동향,2016,월간재정동향,hwp,openfiscal_publications/files/01_501_월간재정동향/2016-01-13_42756_2016년도 월간재정동향/03_목차_월간재정동향(16년03월).hwp,True,1976320,downloaded,90,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,129
