parent_corpus,parent_doc_id,parent_title,parent_fiscal_year,parent_category,parent_zip_path,inner_files,inner_pdf_files,inner_hwp_files,inner_hwpx_files,inner_other_files,pdf_counted_files,pdf_error_files,pdf_pages,hwp_counted_files,hwpx_counted_files,hwp_hwpx_error_files,hwp_hwpx_pages,total_counted_files,total_pages,page_status
UOPKOFDA01_publications,uopkofda01:508:45456:FI000000004545659211:13,2016 최근경제동향,2018,경제동향,openfiscal_publications/files/06_508_경제동향/2018-01-18_45456_2016 최근경제동향.zip,12,12,0,0,0,12,0,960,0,0,0,0,12,960,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:508:45457:FI000000004545759224:13,2017 최근경제동향,2018,경제동향,openfiscal_publications/files/06_508_경제동향/2018-01-18_45457_2017 최근경제동향.zip,12,12,0,0,0,12,0,960,0,0,0,0,12,960,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:512:24788:FI000000002478822030:1,2002년도 부담금운용현황,2003,부담금운용현황,openfiscal_publications/files/09_512_부담금운용현황/2003-08-30_24788_2002년도 부담금운용현황.zip,4,0,4,0,0,0,0,0,4,0,0,566,4,566,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:512:24789:FI000000002478922031:1,2003년도 부담금운용현황,2004,부담금운용현황,openfiscal_publications/files/09_512_부담금운용현황/2004-08-25_24789_2003년도 부담금운용현황.zip,7,0,7,0,0,0,0,0,7,0,0,603,7,603,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:512:24790:FI000000002479022032:1,2004년도 부담금운용현황,2005,부담금운용현황,openfiscal_publications/files/09_512_부담금운용현황/2005-07-13_24790_2004년도 부담금운용현황.zip,4,0,4,0,0,0,0,0,4,0,0,618,4,618,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:512:24798:FI000000002479866564:1,2012년도 부담금운용현황,2013,부담금운용현황,openfiscal_publications/files/09_512_부담금운용현황/2013-05-31_24798_2012년도 부담금운용현황.zip,1,1,0,0,0,1,0,863,0,0,0,0,1,863,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:45451:FI000000004545159148:18,2016 예산안분석,2015,예산안분석,openfiscal_publications/files/13_517_예산안분석/2015-10-19_45451_2016 예산안분석.zip,17,15,2,0,0,15,0,2330,2,0,0,2,17,2332,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:45453:FI000000004545359168:19,2017 예산안분석,2016,예산안분석,openfiscal_publications/files/13_517_예산안분석/2016-10-24_45453_2017 예산안분석.zip,17,16,1,0,0,16,0,2858,1,0,0,1,17,2859,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:45455:FI000000004545559188:23,2018 예산안분석,2017,예산안분석,openfiscal_publications/files/13_517_예산안분석/2017-11-01_45455_2018 예산안분석.zip,22,21,1,0,0,21,0,5820,1,0,0,1,22,5821,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:48290:FI000000004829062612:22,2019 예산안분석,2018,예산안분석,openfiscal_publications/files/13_517_예산안분석/2018-10-31_48290_2019 예산안분석.zip,21,21,0,0,0,21,0,6790,0,0,0,0,21,6790,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:48292:FI000000004829262639:1,2020 예산안분석,2019,예산안분석,openfiscal_publications/files/13_517_예산안분석/2019-10-24_48292_2020 예산안분석.zip,21,21,0,0,0,21,0,5225,0,0,0,0,21,5225,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:50390:FI000000005039064952:2,2021 예산안분석,2020,예산안분석,openfiscal_publications/files/13_517_예산안분석/2020-11-05_50390_2021 예산안분석.zip,21,21,0,0,0,21,0,5390,0,0,0,0,21,5390,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:51312:FI000000005131266486:1,2022 예산안분석,2021,예산안분석,openfiscal_publications/files/13_517_예산안분석/2021-10-27_51312_2022 예산안분석.zip,18,18,0,0,0,18,0,5097,0,0,0,0,18,5097,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:51517:F0000000000000003919:1,2023 예산안분석,2022,예산안분석,openfiscal_publications/files/13_517_예산안분석/2022-10-31_51517_2023 예산안분석.zip,21,21,0,0,0,21,0,4965,0,0,0,0,21,4965,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:517:51585:F0000000000000004157:1,2024 예산안분석,2023,예산안분석,openfiscal_publications/files/13_517_예산안분석/2023-10-31_51585_2024 예산안분석.zip,21,21,0,0,0,21,0,5082,0,0,0,0,21,5082,counted_all_pdf_hwp_hwpx
UOPKOFDA01_publications,uopkofda01:516:51755:F0000000000000004816:1,2026 월간나라재정 6월,2026,월간나라재정,openfiscal_publications/files/12_516_월간나라재정/2026-06-26_51755_2026 월간나라재정 6월.zip,1,1,0,0,0,1,0,84,0,0,0,0,1,84,counted_all_pdf_hwp_hwpx
